Startup,Institution(Founded in),Funds,Alive?,URLs,Founders,Web Last Updated Time From Now,Field,Contact,Prize,Year,Additional comment,
Dfly Systems (fmr Dragonfly Systems),Stanford University,#N/A,No,,Darren Hau,> 2 years,Solar Energy ,,Caltech First Look West,2013,Bought by SunPower Corporation,
NexTint,Stanford University,"$35,000.00",No,None,David Abram,,Energy Efficient Material,https://www.linkedin.com/in/davidabram,Caltech First Look West,2015,,
ATS Motors,Purdue University,#N/A,No,None,,,Electric bike,,Clean Energy Trust,2012,,
Ceres Biofuels,Purdue University,$0.00,No,None,,,,,Clean Energy Trust,2013,,
Midwest Biofuels Analytica,Purdue University,#N/A,No,None,Iman Tabar Beheshti,,,,Clean Energy Trust,2013,,
Power-by-Nano,Purdue University,#N/A,No,None,Kaoutar Abbou Oucherif,,Material Science,https://www.linkedin.com/in/kaoutar-abbou-oucherif-b9384b1a,Clean Energy Trust,2012,,
MuTherm,Oregon State University,"$5,000.00",No,http://www.mutherm.com/,,> 2 years,Fuel Efficiency,MuThermtec@gmail.com,Caltech First Look West,2014,,
Beejli (fmr MobiSolar),MIT & Harvard University,#N/A,No,None,Ali Kamil,,Enable Solar Panels to function as cellphone devices.,,MIT Clean Energy Prize,2012,,
Bit Harmonics,MIT,#N/A,No,None,Charles Baron,,Home energy management,,"Rice Business Plan Competition, MIT Clean Energy Prize",2013,,
Change:WATER,MIT,#N/A,No,None,Jessie Press-Williams,,"Low-cost, waterless in-home toilets",,MIT Clean Energy Prize,2015,,
GreenAnalytix,MIT,#N/A,No,None,,> 2 years,Energy Efficiency Strategy,,MIT Clean Energy Prize,2014,,
Kanoot,MIT,#N/A,No,None,Tristan Jackson,,Waste Recycling,,MIT Clean Energy Prize,2014,,
Kettering CHP,Kettering University,#N/A,No,None,Vipul Ladda,,Fuel Efficiency,,Clean Energy Trust,2013,,
Cleanoventions,IIT(Indian Institute of Tech),#N/A,No,None,Gaurav Dahake,,Developing and commercializing highly efficient clean energy innovations.,,Rice Business Plan Competition,2012,,
EcoAssists,Georgia Tech,$0.00,No,None,Keong Yong,> 3 years,Hybrid Power System on School Buses,,ACC Clean Energy Challenge,2012,,
Lac Hong Gasifiers (fmr Mekong Green Tech),Georgia Tech,#N/A,No,None,Christopher Quintero,,Fuel Efficiency in Vietnam,,Rice Business Plan Competition,2012,,
LeanHVAC,Georgia Tech,#N/A,No,http://leanhvac.blogspot.com/,,> 5 years,Education,,MIT Clean Energy Prize,2012,,
"BioElectric, Inc. (fmr Bioelectrochemical Solutions LLC)",CU Boulder,#N/A,No,None,,,Sustainable water treatment,,CU Boulder Clean Energy Competition,2013,,
BioRecyClean,CU Boulder,#N/A,No,None,Marshall Beebe,,Waste managements systems,,CU Boulder Clean Energy Competition,2012,,
plugSTRATE,Columbia University in the City of New York,#N/A,No,None,Shyuan Yang,,Energy Management Device,,"MIT Clean Energy Prize, Rice Business Plan Competition",2014,,
Building Energy Efficiency Mapping (BEEMS),Clemson Unviersity,#N/A,No,None,C. David Thornton,,Reuse of bio-based waste,,Caltech First Look West,2013,,
AMat,Clemson University,#N/A,No,None,Jennifer Graff,,High performance materials,,ACC Clean Energy Challenge,2012,,
Caltech Laboratory for Energy and Water,CalTech,#N/A,No,None,Clément Cid,,,,Caltech First Look West,2013,,
Aeolus Building Efficiency,Boston University,#N/A,No,,Ben Smith,None,"Reduce energy use in large office HVAC systems, Software solution",,MIT Clean Energy Prize,2013,,
EnerLeap (fmr EnerLeap),Boston College,"$50,000.00",No,None,Meghan Delaney Zipin,,Battery,,Rice Business Plan Competition,2013,,
Adaption Energy,,#N/A,No,,,,,,Caltech First Look West,2012,,
Advanced Farms,,#N/A,No,,,,Organic Farms,,Clean Energy Trust,2013,,
Advanced Heliostats,,#N/A,No,,,,Low-cost provider of heliostats to concentrated solar power developers.,,ACC Clean Energy Challenge,2013,,
Aerosol Control Technologies,,#N/A,No,,Daniel Garcia,None,"Commercialize efficient, low-cost aerosol control technologies.",,Clean Energy Trust,2013,,
Agogy,,$0.00,No,,,,,,Clean Energy Trust,2013,,
Aqua Power Enterprise,,#N/A,No,,,,,,Clean Energy Trust,2013,,
Archer Technologies,,#N/A,No,,,,Consulting,,Clean Energy Trust,2014,Bought by EMC,
Biodomes Inc.,,#N/A,No,None,,,,,ACC Clean Energy Challenge,2012,,
BoxFeeds,,#N/A,No,None,,,,,Caltech First Look West,2012,,
CarboCatalyst,,#N/A,No,None,,,,,ACC Clean Energy Challenge,2013,,
Carbon Recycling Corporation,,#N/A,No,None,,,,,Clean Energy Trust,2013,,
Carbonility,,#N/A,No,None,,,Carbon recycling,,Clean Energy Trust,2013,,
CH5,,#N/A,No,None,,,,,Clean Energy Trust,2013,,
Charging Lane,,#N/A,No,None,,,,,ACC Clean Energy Challenge,2014,,
conDUCT Solutions,,#N/A,No,None,,,,,Clean Energy Trust,2013,,
Cool and Clear Solar,,#N/A,No,None,,,,,Clean Energy Trust,2012,,
Copula Design Concept for Wind Energy,,#N/A,No,None,,,,,Clean Energy Trust,2012,,
Current Tidal,,"$6,000.00",No,None,,,,,Clean Energy Trust,2013,,
CW Inc.,,$0.00,No,None,,,,,Clean Energy Trust,2013,,
Drinkwelll,,#N/A,No,None,,,,,MIT Clean Energy Prize,2014,,
DSP,,#N/A,No,None,,,,,Clean Energy Trust,2012,,
E-Rescue,,#N/A,No,None,,,,,Clean Energy Trust,2013,,
e1e2,,#N/A,No,None,,,,,Clean Energy Trust,2012,,
Earth Starter,,#N/A,No,None,,,,,Caltech First Look West,2013,,
EcoSpinners,,$0.00,No,None,,,,,Clean Energy Trust,2013,,
Effimax Solar,,#N/A,No,None,,,Solar energy,,Clean Energy Trust,2012,,
eHale,,#N/A,No,None,,,,,Caltech First Look West,2012,,
Electroluminescent Products,,#N/A,No,None,,,,,Clean Energy Trust,2012,,
Envir Energy,,#N/A,No,None,,,,,MIT Clean Energy Prize,2012,,
EnVIV,,#N/A,No,None,Gary Nave,,Electricity generation,,ACC Clean Energy Challenge,2014,,
"Fischer Enterprises, LLC",,#N/A,No,None,,,,,Clean Energy Trust,2013,,
FlyDrive,,#N/A,No,None,,,Energy efficient on electric vehicles,,Clean Energy Trust,2013,,
Galipi Technologies,,#N/A,No,None,,,,,Caltech First Look West,2013,,
Genius Buildings,,$0.00,No,None,,,,,CU Boulder Clean Energy Competition,2014,,
Glass Tube Recycling,,#N/A,No,None,,,,,Clean Energy Trust,2012,,
Granular Systems,,#N/A,No,None,John Richardson Crawford,,Energy Management Service and Data Analytics,,ACC Clean Energy Challenge,2013,,
Green Coal,,"$1,000.00",No,None,,,,,Clean Energy Trust,2013,,
Greenbotics,,#N/A,No,None,,,Solar Panel related robots,,Caltech First Look West,2012,Bought by SunPower Corporation,
GreenT,,#N/A,No,None,,,,,ACC Clean Energy Challenge,2014,,
GRIDORDER,,#N/A,No,None,,,,,MIT Clean Energy Prize,2015,,
Hollow Core Wind Turbine Generator,,#N/A,No,None,,,,,Clean Energy Trust,2012,,
Hybrid Wind,,#N/A,No,None,,,Wind Energy,,MIT Clean Energy Prize,2013,,
Hydraulic Wind Power,,$0.00,No,None,Adam Johnson,,,,Clean Energy Trust,2012,,
IDIAS-BioEnergy,,#N/A,No,None,,,,,CU Boulder Clean Energy Competition,2014,,
Integrated Power Technologies Corp.,,#N/A,No,http://www.intpowertechcorp.com/,,> 2 years,Renewable Energy,,Caltech First Look West,2013,,
IOMI Technologies,,#N/A,No,None,,,Metal Manufacture and Recycle,,Rice Business Plan Competition,2012,,
iVEG,,#N/A,No,None,Boris Western,> 3 years,Clean electricity generation,,"MIT Clean Energy Prize
 Caltech First Look West 2013",2012,,
Lost Joules,,#N/A,No,None,,> 6 years,,,Clean Energy Trust,2012,,
Luma Light,,#N/A,No,None,,,,,MIT Clean Energy Prize,2012,,
MemPrint Dynamics,,#N/A,No,None,KatieRae Williamson,,Nanotechnology,,CU Boulder Clean Energy Competition,2014,,
Mimas Nanosystems (fmr Bagpipe Technologies),,#N/A,No,None,,,,,"Rice Business Plan Competition, Clean Energy Trust",2012,,
Mud Power,,#N/A,No,None,,,Battery,,ACC Clean Energy Challenge,2012,,
N-Core Technologies,,#N/A,No,None,,,,,CU Boulder Clean Energy Competition,2012,,
NanoHarv Technologies,,#N/A,No,None,Justin Isaacs,,Biotechnology - Biofuel,,Clean Energy Trust,2012,,
NetEnergy,,#N/A,No,None,,,,,Clean Energy Trust,2015,,
NGen Corporation,,#N/A,No,None,,,,,Rice Business Plan Competition,2012,,
Nikoo Energy,,#N/A,No,None,Neama Dadkhahnikoo,,,,Caltech First Look West,2013,,
NutriCycle Solutions,,#N/A,No,None,,,,,Clean Energy Trust,2013,,
OptimEV,,#N/A,No,None,,,,,Clean Energy Trust,2013,,
Plasmonic Energy,,#N/A,No,None,,,,,MIT Clean Energy Prize,2012,,
PolymerGreen,,#N/A,No,None,,,Waste Recycling,,MIT Clean Energy Prize,2013,,
PowerUP Inc,,#N/A,No,None,,,,,ACC Clean Energy Challenge,2012,,
Precision Water,,#N/A,No,None,,,,,Clean Energy Trust,2013,,
Vimana,,#N/A,No,None,,,,,Clean Energy Trust,2013,,
Vorpal,,#N/A,No,None,,,,,MIT Clean Energy Prize,2015,,
Wavve,,#N/A,No,None,,,,,Rice Business Plan Competition,2014,,
CLEW Systems LLC,Same as #52,#N/A,,,,,,,Caltech First Look West,2012,,
ProsumerGrid(frm Energy Internet),Georgia Southern University,"$3,000,000.00",,https://prosumergrid.com/,Marcelo Sandoval,< 6 months,Software,msandoval@prosumergrid.com,ACC Clean Energy Challenge,2014,,
AMPY (fmr myPower),,#N/A,,,,,,,"Clean Energy Trust
 Rice Business Plan Competition 2015",2014,,
BrewCovery,,#N/A,,,,,,,ACC Clean Energy Challenge,2013,,
Building Robotics,,#N/A,,,,,,,Caltech First Look West,2012,,
Mesdi Systems,,#N/A,,,,,,,ACC Clean Energy Challenge,2012,,
NuMat Technologies,,#N/A,,,,,,,Clean Energy Trust,2012,,
NuMat Technologies,,#N/A,,,,,,,Clean Energy Trust,2012,,
NuMat Technologies,,#N/A,,,,,,,Clean Energy Trust,2012,,
Unified Solar,,#N/A,,,,,,,MIT Clean Energy Prize,2014,,
